ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor;;
Albert Heijn;116814;485378;980;Supermarket;1,5;1,8;2,7;;
Jumbo Supermarkten B.V.;118756;485791;987;Supermarket;1,5;1,8;2,7;;
Albert Heijn;124452;487435;1000;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;119856;486829;1006;Supermarket;1,5;1,8;2,7;;
Albert Heijn;117561;486350;1017;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;116769;485469;1029;Supermarket;1,5;1,8;2,7;;
Vomar Voordeelmarkt;126095;479179;1049;Supermarket;1,5;1,8;2,7;;
Vomar Voordeelmarkt;127904;485716;1049;Supermarket;1,5;1,8;2,7;;
Albert Heijn B.V.;122657;486147;1054;Supermarket;1,5;1,8;2,7;;
Supermarkt Bos & Lommer B.V.;118102;488014;1075;Supermarket;1,5;1,8;2,7;;
Jumbo Supermarkt;125486;489576;1138;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;118534;486967;1168;Supermarket;1,5;1,8;2,7;;
Vomar;118157;488076;1200;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;121277;485596;1224;Supermarket;1,5;1,8;2,7;;
Coop;114003;485449;1252;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;119833;487580;1315;Supermarket;1,5;1,8;2,7;;
Vomar Voordeelmarkt;115106;488072;1328;Supermarket;1,5;1,8;2,7;;
Supermarkt Reigersbos B.V.;126956;478585;1329;Supermarket;1,5;1,8;2,7;;
Albert Heijn;123735;485568;1336;Supermarket;1,5;1,8;2,7;;
Vomar;125566;480870;1337;Supermarket;1,5;1,8;2,7;;
Albert Heijn;122064;486882;1366;Supermarket;1,5;1,8;2,7;;
Aries t.h.o.d.n. Jumbo Oostelijke Handelskade;124230;487493;1417;Supermarket;1,5;1,8;2,7;;
Albert Heijn;118205;487997;1460;Supermarket;1,5;1,8;2,7;;
Albert Heijn B.V.;126698;481741;1462;Supermarket;1,5;1,8;2,7;;
Lidl;123493;484838;1470;Supermarket;1,5;1,8;2,7;;
Lidl;118160;488566;1473;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;115210;485788;1522;Supermarket;1,5;1,8;2,7;;
Albert Heijn B.V.;127982;485645;1528;Supermarket;1,5;1,8;2,7;;
De Aker-Schaffner B.V.;114068;484822;1548;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;123066;488666;1581;Supermarket;1,5;1,8;2,7;;
Vomar;123955;485168;1730;Supermarket;1,5;1,8;2,7;;
Albert Heijn B.V.;119824;487115;1734;Supermarket;1,5;1,8;2,7;;
Albert Heijn;120422;485597;1779;Supermarket;1,5;1,8;2,7;;
Albert Heijn;124542;490041;1841;Supermarket;1,5;1,8;2,7;;
Jumbo Supermarkten B.V.;124276;490232;1849;Supermarket;1,5;1,8;2,7;;
Lidl;124583;486043;1912;Supermarket;1,5;1,8;2,7;;
Albert Heijn;121154;487333;1951;Supermarket;1,5;1,8;2,7;;
Albert Heijn;121253;484908;1990;Supermarket;1,5;1,8;2,7;;
Albert Heijn;121381;492247;2000;Supermarket;1,5;1,8;2,7;;
Albert Heijn;116631;488148;2042;Supermarket;1,5;1,8;2,7;;
Lidl;118741;485762;2083;Supermarket;1,5;1,8;2,7;;
Lidl;123005;491209;2105;Supermarket;1,5;1,8;2,7;;
AH 8702;125608;489527;2157;Supermarket;1,5;1,8;2,7;;
Albert Heijn;125538;480937;2283;Supermarket;1,5;1,8;2,7;;
Lidl;125267;480757;2386;Supermarket;1,5;1,8;2,7;;
Albert Heijn;124524;484794;2509;Supermarket;1,5;1,8;2,7;;
Albert Heijn;127150;481009;2619;Supermarket;1,5;1,8;2,7;;
Albert Heijn;115197;485891;2680;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek;121306;483628;2818;Supermarket;1,5;1,8;2,7;;
Foodmarkt Amsterdam;123175;488481;3152;Supermarket;1,5;1,8;2,7;;
Albert Heijn;120326;482691;4240;Supermarket;1,5;1,8;2,7;;
Serifoglu B.V.;118589;489609;0;Turkish supermarket;0,5;2;1;;
Tanger Markt Venserpolder B.V.;124665;481690;0;Turkish supermarket;0,5;2;1;;
S. Zargar-Shakouri;124559;490873;0;Turkish supermarket;0,5;2;1;;
Supermarkt Yakhlaf West B.V.;116743;488226;0;Turkish supermarket;0,5;2;1;;
Son To Maatje;122909;490822;0;Turkish supermarket;0,5;2;1;;
Tanger Markt Stede B.V.;117756;490188;0;Turkish supermarket;0,5;2;1;;
Eshel B.V.;120627;481921;0;Turkish supermarket;0,5;2;1;;
Supermarkt Toubkal;118705;486419;0;Turkish supermarket;0,5;2;1;;
Zara Market;118392;487346;0;Turkish supermarket;0,5;2;1;;
Aboudi;120797;486232;0;Turkish supermarket;0,5;2;1;;
Supermarkt/Slagerij Jouhri;117060;485505;0;Turkish supermarket;0,5;2;1;;
Supermarkt Karadeniz;114648;484931;0;Turkish supermarket;0,5;2;1;;
Mina Tuana Food Center;122805;488764;0;Turkish supermarket;0,5;2;1;;
Company Lukic;124255;486725;0;Turkish supermarket;0,5;2;1;;
Tadamoun Westerpark;120237;489180;0;Turkish supermarket;0,5;2;1;;
Sener Import Export;119989;486737;30;Turkish supermarket;0,5;2;1;;
Alba Minimarkt;119878;488076;34;Turkish supermarket;0,5;2;1;;
Gaziantep Serif Oglu;116393;488234;35;Turkish supermarket;0,5;2;1;;
Supermarkt Nevsehir;118489;486918;35;Turkish supermarket;0,5;2;1;;
Emre Supermarkt B.V.;115267;488082;35;Turkish supermarket;0,5;2;1;;
Aydin Supermarkt;118993;487847;36;Turkish supermarket;0,5;2;1;;
'Dere' Minimarkt en Levensmiddelen;123607;489403;36;Turkish supermarket;0,5;2;1;;
MOMO Mini Markt;124698;481710;40;Turkish supermarket;0,5;2;1;;
Mert Market;123362;485331;40;Turkish supermarket;0,5;2;1;;
Big Banana;121404;487756;41;Turkish supermarket;0,5;2;1;;
Bedir Food;124135;486283;43;Turkish supermarket;0,5;2;1;;
Sarah en Madu B.V.;121312;487159;46;Turkish supermarket;0,5;2;1;;
Deniz;117618;486337;48;Turkish supermarket;0,5;2;1;;
Superette Ennassr;124494;486149;49;Turkish supermarket;0,5;2;1;;
Ilkerim Supermarkt;118474;484909;51;Turkish supermarket;1;2;2;;
Firex Supermarkt Amsterdam B.V.;116338;487899;54;Turkish supermarket;1;2;2;;
Imazigen;119053;486944;54;Turkish supermarket;1;2;2;;
Akdeniz Lido;122909;490068;57;Turkish supermarket;1;2;2;;
Tujuh Maret;121721;486271;57;Turkish supermarket;1;2;2;;
Aziz Market;119291;486371;60;Turkish supermarket;1;2;2;;
Walee;124692;481719;66;Turkish supermarket;1;2;2;;
Supermarkt Nouna;118463;485912;66;Turkish supermarket;1;2;2;;
Istanblue Vers Shop;118615;487073;66;Turkish supermarket;1;2;2;;
Al Iman Supermarkt;123068;488795;70;Turkish supermarket;1;2;2;;
Supertoko/Islamitische Slagerij Nawied;124523;486377;74;Turkish supermarket;1;2;2;;
Ata Can;115037;486216;75;Turkish supermarket;1;2;2;;
New Bario Market;120372;488405;76;Turkish supermarket;1;2;2;;
Bazaar Beni-Ansar;119958;488470;80;Turkish supermarket;1;2;2;;
Ömre Supermarkt;124888;490482;80;Turkish supermarket;1;2;2;;
Asya Pazari;123728;486037;84;Turkish supermarket;1;2;2;;
Bantammer Supermarkt;121989;487431;86;Turkish supermarket;1;2;2;;
Versshop Ilker;117520;486330;87;Turkish supermarket;1;2;2;;
ASLAN VERSMARKT;123071;485467;90;Turkish supermarket;1;2;2;;
Oz Temiz Market 1;119189;486407;90;Turkish supermarket;1;2;2;;
Supermarkt Eva;120898;489116;91;Turkish supermarket;1;2;2;;
Abou Elkhair H.O. Spelde Mini Market & Souv.;121410;488051;96;Turkish supermarket;1;2;2;;
Elands Supermarkt;120382;486936;98;Turkish supermarket;1;2;2;;
Helal et Gida Oost B.V.;123522;485431;100;Turkish supermarket;1;2;2;;
Supermarkt Bismillah;124292;485979;100;Turkish supermarket;1;2;2;;
Perzisch Huis;120513;487421;101;Turkish supermarket;1;2;2;;
C.K. Türker Supermarkt;124553;485992;109;Turkish supermarket;1;2;2;;
Supermarkt Dé Marokkaan (Bos en Lommer);118208;487850;110;Turkish supermarket;1;2;2;;
V.O.F. Attent A-Markt Gunes;118408;485443;118;Turkish supermarket;1;2;2;;
Nes Supermarket;121361;486934;118;Turkish supermarket;1,5;2;3;;
K. Günes thodn Attent Czaar Peter Supermarkt;123645;486859;120;Turkish supermarket;1,5;2;3;;
Superstar Market;121262;485598;123;Turkish supermarket;1,5;2;3;;
Yasmin Fine Food;121615;487288;124;Turkish supermarket;1,5;2;3;;
Bizim Ufuk Supermarket en Bakkerij (a.i.);125621;489552;131;Turkish supermarket;1,5;2;3;;
Özyildiz Supermarkt;124016;486266;133;Turkish supermarket;1,5;2;3;;
Supermarkt Yakhlaf Oost B.V.;123998;486291;140;Turkish supermarket;1,5;2;3;;
Nuri Genco Supermarket;122157;484465;143;Turkish supermarket;1,5;2;3;;
Supermarket Ay Baris;114904;486091;156;Turkish supermarket;1,5;2;3;;
V.O.F. Attent Gunes;120729;482786;160;Turkish supermarket;1,5;2;3;;
Marbia Centre;125478;480726;163;Turkish supermarket;1,5;2;3;;
Sera Beydogan Supermarkt;118812;488277;163;Turkish supermarket;1,5;2;3;;
Intern. Food Centrum;119968;488367;163;Turkish supermarket;1,5;2;3;;
Supermarkt Dé Marokkaan (Slotervaart);116835;485191;180;Turkish supermarket;1,5;2;3;;
EFE Supermarket;124194;486287;185;Turkish supermarket;1,5;2;3;;
Öz Damla Supermarket V.O.F.;117332;488074;193;Turkish supermarket;1,5;2;3;;
Genco Noord Versmarkt;122739;489476;200;Turkish supermarket;1,5;2;3;;
Versshop Genco;124399;490246;211;Turkish supermarket;1,5;2;3;;
Doha Food;116881;485568;211;Turkish supermarket;1,5;2;3;;
Tigris & Eufraat;124031;486269;220;Turkish supermarket;1,5;2;3;;
Cappadocia;123717;485445;228;Turkish supermarket;1,5;2;3;;
UMMAH daoudi supermarkt;117476;486341;240;Turkish supermarket;1,5;2;3;;
Beydogan Supermarkt;118223;487815;285;Turkish supermarket;1,5;2;3;;
Multi Tokorien IJburg;128991;484929;295;Turkish supermarket;1,5;2;3;;
Helal et Gida West B.V.;116585;488323;300;Turkish supermarket;1,5;2;3;;
Seker Supermarkten B.V.;117579;489096;400;Turkish supermarket;1,5;2;3;;
Supermarkt Yakhlaf B.V.;116743;488226;532;Turkish supermarket;1,5;2;3;;
Tanger Supermarkten;116491;488241;799;Turkish supermarket;1,5;2;3;;
Velu Supermarkten;120638;482153;1184;Turkish supermarket;1,5;2;3;;
